Method,NumSeeds,TrainRMSE_Mean,TrainRMSE_Std,ValRMSE_Mean,ValRMSE_Std,TestRMSE_Mean,TestRMSE_Std,Runtime_Mean,Runtime_Std,Iterations_Mean,Iterations_Std,BestHyperparameters,RankByTestRMSE
LM,5,2.59648437777817,0.645073476085633,4.84927158504872,0.454665640148792,5.20773009806898,0.464670969232103,0.57807092,0.0624345035747623,84,9.82344135219425,"lambda0=1e-03, nu=5, rho_acc=1e-04",1
Adam,5,3.28693788222669,0.271878941714159,4.83723291281952,0.264140592393612,5.52131176720164,0.630988826957242,1.52650898,0.424217855573462,258.4,70.2018518274269,"lr=3e-03, batch=16",2
NCG,5,3.66214408492635,0.806025521772993,4.98531687727314,0.330101796914974,5.52365367746027,0.634808557874535,1.53888834,0.586378972643842,198.2,69.8011461223954,"c1=1e-04, c2=0.10",3
